Country,Consumer_Price_Index,Inflation_Rate,Food_Inflation_Rate,Property_Price_to_Income_Ratio,Affordability_Index,GAS_PRICES_US$_PER_LITER,WAGE_PER_MONTH_US$
Argentina,753,60.7,64.2,26.04,0.09,0.95,1594.49
Australia ,123,5.1,4.3,7.02,2,1.46,3797.14
Brazil,6413,11.73,13.51,16.26,0.56,1.41,542.12
Canada,152,7.7,8.8,7.52,1.96,1.59,3671.2
China,103,2.1,2.3,29.04,0.43,1.06,1290.11
Euro Area,117,8.6,8.7,10.45,1.74,1.79,2336.9
France,113,5.8,4.3,9.94,1.74,2.27,3536.67
Germany,118,7.6,11.1,8.93,1.88,1.99,4736.36
Italy,112,8,9.1,8.61,1.94,2.26,2651.14
Japan,102,2.5,4.1,11.02,1.58,1.28,2636.48
Mexico,121,7.65,12.79,8.69,0.93,1.07,469.21
Netherlands,119,8.8,9.2,7.15,2.3,2.54,3709.76
Russia,232,17.1,20.05,14.84,0.6,0.88,705.2
Singapore,108,5.6,4.5,17.49,0.94,2.36,4847.45
South Africa,103,6.5,7.6,3.07,2.93,1.48,1533.07
South Korea,108,6,6.02,29.4,0.5,1.64,3748.11
Spain,110,10.2,10.98,8.78,1.83,2.29,2230
Switzerland ,105,3.4,1.9,8.29,2.11,2.24,7060
Turkey,932,78.62,93.9,10.27,0.53,1.53,741.57
United Kingdom,121,9.1,8.6,8.86,1.68,2.32,3178.95
United States,292,8.6,10.1,3.96,3.5,1.3,4372.8
